---TICK-TAG---
***START MEMORY***
UVs: 46, TOs: 0/0, ErrorsOrGF: 1, TTFF: 65
Fixes: 9323, Avg. time to fix: 0 s, Avg. HDOP (x10): 9

count,timestamp,lat,lon
1,1646223891,47.74311,8.99903
2,1646223893,47.74309,8.99901
3,1646223894,47.74310,8.99902
4,1646223895,47.74310,8.99902
5,1646223896,47.74310,8.99902
6,1646223897,47.74310,8.99901
7,1646223898,47.74310,8.99901
8,1646223899,47.74310,8.99901
9,1646223900,47.74309,8.99900
10,1646223901,47.74308,8.99900
11,1646223902,47.74308,8.99899
12,1646223903,47.74308,8.99899
13,1646223904,47.74307,8.99899
14,1646223905,47.74307,8.99899
15,1646223906,47.74307,8.99899
16,1646223907,47.74307,8.99899
17,1646223908,47.74307,8.99899
18,1646223909,47.74307,8.99900
19,1646223910,47.74307,8.99900
20,1646223911,47.74307,8.99900
21,1646223912,47.74307,8.99900
22,1646223913,47.74306,8.99900
23,1646223914,47.74306,8.99900
24,1646223915,47.74306,8.99900
25,1646223916,47.74306,8.99900
26,1646223917,47.74306,8.99900
27,1646223918,47.74306,8.99900
28,1646223919,47.74306,8.99900
29,1646223920,47.74306,8.99900
30,1646223921,47.74306,8.99900
31,1646223922,47.74306,8.99900
32,1646223923,47.74306,8.99900
33,1646223924,47.74306,8.99901
34,1646223925,47.74306,8.99901
35,1646223926,47.74306,8.99901
36,1646223927,47.74306,8.99901
37,1646223928,47.74306,8.99901
38,1646223929,47.74306,8.99901
39,1646223930,47.74306,8.99901
40,1646223931,47.74306,8.99901
41,1646223932,47.74306,8.99901
42,1646223933,47.74306,8.99901
43,1646223934,47.74306,8.99901
44,1646223935,47.74306,8.99901
45,1646223936,47.74306,8.99901
46,1646223937,47.74306,8.99901
47,1646223938,47.74306,8.99901
48,1646223939,47.74306,8.99901
49,1646223940,47.74306,8.99901
50,1646223941,47.74306,8.99901
51,1646223942,47.74306,8.99901
52,1646223943,47.74306,8.99901
53,1646223944,47.74306,8.99901
54,1646223945,47.74306,8.99901
55,1646223946,47.74306,8.99901
56,1646223947,47.74306,8.99901
57,1646223948,47.74306,8.99901
58,1646223949,47.74306,8.99901
59,1646223950,47.74306,8.99901
60,1646223951,47.74306,8.99901
61,1646223952,47.74306,8.99901
62,1646223953,47.74306,8.99901
63,1646223954,47.74306,8.99901
64,1646223955,47.74306,8.99901
65,1646223956,47.74306,8.99901
66,1646223957,47.74306,8.99901
67,1646223958,47.74306,8.99901
68,1646223959,47.74306,8.99901
69,1646223960,47.74306,8.99901
70,1646223961,47.74306,8.99901
71,1646223962,47.74306,8.99901
72,1646223963,47.74306,8.99901
73,1646223964,47.74306,8.99901
74,1646223965,47.74306,8.99901
75,1646223966,47.74306,8.99901
76,1646223967,47.74306,8.99901
77,1646223968,47.74306,8.99901
78,1646223969,47.74306,8.99901
79,1646223970,47.74306,8.99901
80,1646223971,47.74306,8.99901
81,1646223972,47.74306,8.99901
82,1646223973,47.74306,8.99901
83,1646223974,47.74306,8.99901
84,1646223975,47.74306,8.99901
85,1646223976,47.74306,8.99901
86,1646223977,47.74306,8.99901
87,1646223978,47.74306,8.99901
88,1646223979,47.74306,8.99901
89,1646223980,47.74306,8.99901
90,1646223981,47.74306,8.99901
91,1646223982,47.74306,8.99901
92,1646223983,47.74306,8.99901
93,1646223984,47.74306,8.99901
94,1646223985,47.74306,8.99901
95,1646223986,47.74306,8.99901
96,1646223987,47.74306,8.99901
97,1646223988,47.74306,8.99901
98,1646223989,47.74306,8.99901
99,1646223990,47.74306,8.99901
100,1646223991,47.74306,8.99901
101,1646223992,47.74306,8.99901
102,1646223993,47.74306,8.99901
103,1646223994,47.74306,8.99901
104,1646223995,47.74306,8.99901
105,1646223996,47.74306,8.99901
106,1646223997,47.74306,8.99901
107,1646223998,47.74306,8.99901
108,1646223999,47.74306,8.99901
109,1646224000,47.74306,8.99901
110,1646224001,47.74306,8.99901
111,1646224002,47.74306,8.99901
112,1646224003,47.74306,8.99901
113,1646224004,47.74306,8.99901
114,1646224005,47.74306,8.99901
115,1646224006,47.74306,8.99901
116,1646224007,47.74306,8.99901
117,1646224008,47.74306,8.99901
118,1646224009,47.74306,8.99901
119,1646224010,47.74306,8.99901
120,1646224011,47.74306,8.99901
121,1646224012,47.74306,8.99901
122,1646224013,47.74306,8.99901
123,1646224014,47.74306,8.99901
124,1646224015,47.74306,8.99901
125,1646224016,47.74306,8.99901
126,1646224017,47.74306,8.99901
127,1646224018,47.74306,8.99901
128,1646224019,47.74306,8.99901
129,1646224020,47.74306,8.99901
130,1646224021,47.74306,8.99901
131,1646224022,47.74306,8.99901
132,1646224023,47.74306,8.99901
133,1646224024,47.74306,8.99901
134,1646224025,47.74306,8.99901
135,1646224026,47.74306,8.99901
136,1646224027,47.74306,8.99901
