6773 $PQFLP,W,1,0*21
$GPRMC,235942.800,V,,,,,0.00,0.00,050180,,,N*42

2798 $GPRMC,235943.800,V,,,,,0.00,0.00,050180,,,N*43
$GPGGA,235943.800,,,,,0,0,,,M,,M,,*4A

3798 $GPRMC,235944.799,V,,,,,0.00,0.00,050180,,,N*4B
$GPGGA,235944.799,,,,,0,0,,,M,,M,,*42

4796 $GPRMC,235945.799,V,,,,,0.00,0.00,050180,,,N*4A
$GPGGA,235945.799,,,,,0,0,,,M,,M,,*43

---TICK-TAG---
***START MEMORY***
UVs: 253, TOs: 0/0, ErrorsOrGF: 1, TTFF: 74
Fixes: 2113, Avg. time to fix: 0 s, Avg. HDOP (x10): 10

count,timestamp,lat,lon
1,1645631752,47.74333,8.99870
2,1645631757,47.74339,8.99869
3,1645631762,47.74341,8.99867
4,1645631767,47.74342,8.99865
5,1645631772,47.74342,8.99863
6,1645631777,47.74341,8.99862
7,1645631782,47.74331,8.99801
8,1645631787,47.74327,8.99803
9,1645631792,47.74305,8.99837
10,1645631797,47.74295,8.99854
11,1645631802,47.74293,8.99859
12,1645631807,47.74292,8.99860
13,1645631812,47.74292,8.99861
14,1645631817,47.74292,8.99862
15,1645631822,47.74292,8.99864
16,1645631827,47.74292,8.99866
17,1645631832,47.74293,8.99867
18,1645631837,47.74294,8.99870
19,1645631842,47.74295,8.99874
20,1645631847,47.74297,8.99878
21,1645631852,47.74297,8.99882
22,1645631857,47.74298,8.99888
23,1645631862,47.74299,8.99890
24,1645631867,47.74299,8.99894
25,1645631872,47.74300,8.99897
26,1645631877,47.74301,8.99899
27,1645631882,47.74302,8.99900
28,1645631887,47.74303,8.99901
29,1645631892,47.74303,8.99902
30,1645631897,47.74303,8.99901
31,1645631902,47.74304,8.99902
32,1645631907,47.74304,8.99902
33,1645631912,47.74305,8.99903
34,1645631917,47.74305,8.99903
35,1645631922,47.74305,8.99903
36,1645631927,47.74305,8.99903
37,1645631932,47.74305,8.99903
38,1645631937,47.74305,8.99903
39,1645631942,47.74305,8.99902
40,1645631947,47.74305,8.99902
41,1645631952,47.74305,8.99901
42,1645631957,47.74305,8.99901
43,1645631962,47.74305,8.99900
44,1645631967,47.74305,8.99901
45,1645631972,47.74305,8.99899
46,1645631977,47.74305,8.99899
47,1645631982,47.74304,8.99900
48,1645631987,47.74304,8.99900
49,1645631992,47.74304,8.99900
50,1645631997,47.74303,8.99900
51,1645632002,47.74303,8.99900
52,1645632007,47.74302,8.99900
53,1645632012,47.74302,8.99900
54,1645632017,47.74302,8.99900
55,1645632022,47.74301,8.99901
56,1645632027,47.74301,8.99902
57,1645632032,47.74301,8.99902
58,1645632037,47.74302,8.99903
59,1645632042,47.74302,8.99904
60,1645632047,47.74303,8.99904
61,1645632052,47.74303,8.99905
62,1645632057,47.74303,8.99905
63,1645632062,47.74303,8.99906
64,1645632067,47.74303,8.99907
65,1645632072,47.74303,8.99907
66,1645632077,47.74303,8.99907
67,1645632082,47.74303,8.99907
68,1645632087,47.74303,8.99907
69,1645632092,47.74303,8.99907
70,1645632097,47.74303,8.99907
71,1645632102,47.74303,8.99907
72,1645632107,47.74303,8.99907
73,1645632112,47.74302,8.99907
74,1645632117,47.74302,8.99907
75,1645632122,47.74302,8.99908
76,1645632127,47.74302,8.99908
77,1645632132,47.74303,8.99907
78,1645632137,47.74303,8.99907
79,1645632142,47.74303,8.99906
80,1645632147,47.74303,8.99906
81,1645632152,47.74303,8.99905
82,1645632157,47.74303,8.99905
83,1645632162,47.74302,8.99904
84,1645632167,47.74302,8.99904
85,1645632172,47.74302,8.99905
86,1645632177,47.74302,8.99904
87,1645632182,47.74302,8.99904
88,1645632187,47.74302,8.99904
89,1645632192,47.74302,8.99903
90,1645632197,47.74302,8.99903
91,1645632202,47.74302,8.99902
92,1645632207,47.74301,8.99901
93,1645632212,47.74301,8.99900
94,1645632217,47.74300,8.99898
95,1645632222,47.74299,8.99895
96,1645632227,47.74298,8.99892
97,1645632232,47.74298,8.99891
98,1645632237,47.74298,8.99891
99,1645632242,47.74298,8.99890
100,1645632247,47.74298,8.99890
101,1645632252,47.74298,8.99890
102,1645632257,47.74297,8.99890
103,1645632262,47.74298,8.99890
104,1645632267,47.74298,8.99890
105,1645632272,47.74298,8.99890
106,1645632277,47.74298,8.99890
107,1645632282,47.74298,8.99890
108,1645632287,47.74298,8.99890
109,1645632292,47.74299,8.99890
110,1645632297,47.74299,8.99891
111,1645632302,47.74299,8.99890
112,1645632307,47.74299,8.99891
113,1645632312,47.74299,8.99892
114,1645632317,47.74299,8.99892
115,1645632322,47.74299,8.99891
116,1645632327,47.74299,8.99891
117,1645632332,47.74300,8.99892
118,1645632337,47.74300,8.99891
119,1645632342,47.74300,8.99890
120,1645632347,47.74300,8.99889
121,1645632352,47.74300,8.99889
122,1645632357,47.74300,8.99888
123,1645632362,47.74301,8.99888
124,1645632367,47.74301,8.99888
125,1645632372,47.74301,8.99888
126,1645632377,47.74301,8.99888
127,1645632382,47.74301,8.99888
128,1645632387,47.74301,8.99888
129,1645632392,47.74301,8.99887
130,1645632397,47.74301,8.99887
131,1645632402,47.74301,8.99888
132,1645632407,47.74302,8.99888
133,1645632412,47.74302,8.99888
134,1645632417,47.74302,8.99888
135,1645632422,47.74302,8.99888
136,1645632427,47.74302,8.99887
137,1645632432,47.74301,8.99887
138,1645632437,47.74300,8.99886
139,1645632442,47.74300,8.99886
140,1645632447,47.74299,8.99885
141,1645632452,47.74299,8.99885
142,1645632457,47.74299,8.99885
143,1645632462,47.74299,8.99884
144,1645632467,47.74299,8.99884
145,1645632472,47.74299,8.99884
146,1645632477,47.74299,8.99884
147,1645632482,47.74300,8.99884
148,1645632487,47.74299,8.99883
149,1645632492,47.74299,8.99882
150,1645632497,47.74299,8.99882
151,1645632502,47.74300,8.99883
152,1645632507,47.74300,8.99883
153,1645632512,47.74300,8.99883
154,1645632517,47.74300,8.99883
155,1645632522,47.74300,8.99883
156,1645632527,47.74301,8.99883
157,1645632532,47.74301,8.99884
158,1645632537,47.74302,8.99885
159,1645632542,47.74302,8.99885
160,1645632547,47.74302,8.99885
161,1645632552,47.74302,8.99885
162,1645632557,47.74302,8.99886
163,1645632562,47.74303,8.99887
164,1645632567,47.74302,8.99887
165,1645632572,47.74302,8.99886
166,1645632577,47.74302,8.99885
167,1645632582,47.74301,8.99884
168,1645632587,47.74300,8.99883
169,1645632592,47.74300,8.99883
170,1645632597,47.74300,8.99883
171,1645632602,47.74300,8.99882
172,1645632607,47.74300,8.99882
173,1645632612,47.74299,8.99882
174,1645632617,47.74299,8.99882
175,1645632622,47.74300,8.99882
