---TICK-TAG---
*START MEMORY*
UVs: 222, TOs: 0/0, ErrorsOrGF: 0, TTFF: 108
Fixes: 176, Avg. TTF: 12 s, Avg. HDOP (x10): 18

count,timestamp,lat,lon
1,1646646620,47.74300,8.99904
2,1646646937,47.74302,8.99926
3,1646647258,47.74305,8.99914
4,1646647573,47.74306,8.99896
5,1646647895,47.74304,8.99884
6,1646648210,47.74306,8.99897
7,1646648533,47.74300,8.99875
8,1646648856,47.74294,8.99884
9,1646649179,47.74297,8.99887
10,1646649495,47.74287,8.99884
11,1646649832,47.74296,8.99894
12,1646650171,47.74305,8.99900
13,1646650488,47.74307,8.99885
14,1646650801,47.74310,8.99922
15,1646651114,47.74286,8.99899
16,1646651420,47.74318,8.99883
17,1646651738,47.74316,8.99906
18,1646652050,47.74317,8.99900
19,1646652362,47.74312,8.99903
20,1646652674,47.74315,8.99914
21,1646652986,47.74309,8.99900
22,1646653297,47.74320,8.99919
23,1646653605,47.74301,8.99856
24,1646653934,47.74322,8.99919
25,1646654245,47.74320,8.99913
26,1646654558,47.74311,8.99901
27,1646654896,47.74316,8.99903
28,1646655234,47.74323,8.99906
29,1646655570,47.74305,8.99901
30,1646655874,47.74304,8.99899
31,1646656179,47.74296,8.99891
32,1646656484,47.74308,8.99903
33,1646656788,47.74315,8.99910
34,1646657094,47.74263,8.99892
35,1646657399,47.74306,8.99902
36,1646657704,47.74310,8.99907
37,1646658011,47.74284,8.99912
38,1646658320,47.74288,8.99911
39,1646658625,47.74279,8.99916
40,1646658934,47.74297,8.99898
41,1646659252,47.74297,8.99903
42,1646659569,47.74303,8.99901
43,1646659886,47.74290,8.99902
44,1646660216,47.74297,8.99892
45,1646660531,47.74288,8.99896
46,1646660839,47.74287,8.99903
47,1646661152,47.74335,8.99876
48,1646661469,47.74315,8.99896
49,1646661780,47.74302,8.99905
50,1646662117,47.74318,8.99890
51,1646662448,47.74383,8.99889
52,1646662761,47.74290,8.99915
53,1646663076,47.74311,8.99905
54,1646663381,47.74288,8.99901
55,1646663695,47.74313,8.99888
56,1646664008,47.74308,8.99892
57,1646664334,47.74308,8.99892
58,1646664660,47.74301,8.99899
59,1646664966,47.74291,8.99890
60,1646665272,47.74301,8.99908
61,1646665581,47.74300,8.99877
62,1646665890,47.74290,8.99893
63,1646666198,47.74298,8.99889
64,1646666506,47.74296,8.99894
65,1646666816,47.74296,8.99889
66,1646667123,47.74298,8.99898
67,1646667429,47.74288,8.99895
68,1646667737,47.74302,8.99898
69,1646668044,47.74302,8.99905
70,1646668354,47.74218,8.99804
71,1646668665,47.74289,8.99895
72,1646668976,47.74310,8.99853
73,1646669287,47.74294,8.99885
74,1646669624,47.74301,8.99912
75,1646669945,47.74290,8.99906
