---TICK-TAG---
*START MEMORY*
UVs: 127, TOs: 0/0, ErrorsOrGF: 1, TTFF: 97
Fixes: 4656, Avg. TTF: 15 s, Avg. HDOP (x10): 13

count,timestamp,lat,lon
1,1646984553,47.74303,8.99898
2,1646984554,47.74303,8.99898
3,1646984555,47.74304,8.99898
4,1646984556,47.74304,8.99898
5,1646984557,47.74304,8.99898
6,1646984558,47.74303,8.99898
7,1646984559,47.74303,8.99898
8,1646984560,47.74303,8.99898
9,1646984561,47.74303,8.99898
10,1646984562,47.74304,8.99898
11,1646984563,47.74304,8.99898
12,1646984564,47.74304,8.99898
13,1646984565,47.74304,8.99898
14,1646984566,47.74304,8.99898
15,1646984567,47.74304,8.99898
16,1646984568,47.74304,8.99898
17,1646984569,47.74304,8.99898
18,1646984570,47.74304,8.99898
19,1646984571,47.74304,8.99898
20,1646984572,47.74304,8.99898
21,1646984698,47.74311,8.99901
22,1646984699,47.74314,8.99898
23,1646984700,47.74316,8.99897
24,1646984701,47.74316,8.99896
25,1646984702,47.74317,8.99896
26,1646984703,47.74317,8.99895
27,1646984704,47.74317,8.99895
28,1646984705,47.74317,8.99894
29,1646984706,47.74317,8.99894
30,1646984707,47.74316,8.99894
31,1646984708,47.74316,8.99894
32,1646984709,47.74313,8.99894
33,1646984711,47.74313,8.99894
34,1646984712,47.74312,8.99894
35,1646984713,47.74312,8.99894
36,1646984714,47.74311,8.99894
37,1646984715,47.74311,8.99894
38,1646984716,47.74310,8.99894
39,1646984717,47.74310,8.99894
40,1646984718,47.74309,8.99894
41,1646984844,47.74313,8.99890
42,1646984845,47.74310,8.99891
43,1646984846,47.74308,8.99891
44,1646984847,47.74308,8.99892
45,1646984848,47.74306,8.99892
46,1646984849,47.74305,8.99893
47,1646984850,47.74303,8.99893
48,1646984851,47.74303,8.99893
49,1646984852,47.74303,8.99894
50,1646984853,47.74304,8.99894
51,1646984855,47.74305,8.99894
52,1646984856,47.74305,8.99895
53,1646984857,47.74305,8.99895
54,1646984858,47.74305,8.99895
55,1646984859,47.74305,8.99895
56,1646984860,47.74305,8.99896
57,1646984861,47.74305,8.99896
58,1646984862,47.74305,8.99896
59,1646984863,47.74305,8.99896
60,1646984864,47.74305,8.99897
61,1646984990,47.74302,8.99900
62,1646984991,47.74303,8.99900
63,1646984992,47.74303,8.99900
64,1646984993,47.74304,8.99900
65,1646984994,47.74305,8.99900
66,1646984995,47.74305,8.99900
67,1646984996,47.74304,8.99900
68,1646984997,47.74306,8.99899
69,1646984999,47.74306,8.99898
70,1646985000,47.74305,8.99898
71,1646985001,47.74305,8.99898
72,1646985002,47.74306,8.99898
73,1646985003,47.74306,8.99898
74,1646985004,47.74306,8.99897
75,1646985005,47.74306,8.99897
76,1646985006,47.74306,8.99897
77,1646985007,47.74306,8.99897
78,1646985008,47.74305,8.99897
79,1646985009,47.74305,8.99897
80,1646985010,47.74305,8.99898
81,1646985136,47.74292,8.99906
82,1646985137,47.74291,8.99905
83,1646985138,47.74293,8.99904
84,1646985139,47.74294,8.99903
85,1646985140,47.74295,8.99902
86,1646985141,47.74296,8.99901
87,1646985142,47.74297,8.99900
88,1646985143,47.74297,8.99899
89,1646985144,47.74298,8.99899
90,1646985145,47.74298,8.99899
91,1646985146,47.74299,8.99898
92,1646985147,47.74301,8.99898
93,1646985149,47.74301,8.99898
94,1646985150,47.74302,8.99898
95,1646985151,47.74303,8.99897
96,1646985152,47.74303,8.99897
97,1646985153,47.74304,8.99897
98,1646985154,47.74304,8.99897
99,1646985155,47.74304,8.99897
100,1646985156,47.74305,8.99897
101,1646985283,47.74297,8.99897
102,1646985284,47.74300,8.99897
103,1646985285,47.74300,8.99897
104,1646985286,47.74300,8.99897
105,1646985287,47.74300,8.99896
106,1646985288,47.74301,8.99896
107,1646985289,47.74302,8.99897
108,1646985290,47.74303,8.99897
109,1646985291,47.74303,8.99897
110,1646985292,47.74305,8.99896
111,1646985294,47.74305,8.99896
112,1646985295,47.74305,8.99896
113,1646985296,47.74305,8.99895
114,1646985297,47.74305,8.99895
115,1646985298,47.74305,8.99895
116,1646985299,47.74305,8.99895
117,1646985300,47.74305,8.99895
118,1646985301,47.74306,8.99896
119,1646985302,47.74306,8.99896
120,1646985303,47.74306,8.99896
121,1646985430,47.74298,8.99895
122,1646985431,47.74299,8.99895
123,1646985432,47.74299,8.99895
124,1646985433,47.74299,8.99894
125,1646985434,47.74300,8.99895
126,1646985435,47.74300,8.99896
127,1646985436,47.74301,8.99898
