count,timestamp,lat,lon
1,1646321123,47.74378,8.99929
2,1646321124,47.74379,8.99928
3,1646321125,47.74381,8.99926
4,1646321126,47.74382,8.99925
5,1646321128,47.74384,8.99922
6,1646321129,47.74386,8.99921
7,1646321130,47.74387,8.99920
8,1646321131,47.74388,8.99918
9,1646321132,47.74389,8.99918
10,1646321134,47.74390,8.99917
11,1646321135,47.74391,8.99917
12,1646321136,47.74391,8.99917
13,1646321137,47.74391,8.99917
14,1646321138,47.74392,8.99916
15,1646321140,47.74393,8.99917
16,1646321143,47.74394,8.99914
17,1646321144,47.74393,8.99913
18,1646321146,47.74394,8.99911
19,1646321147,47.74396,8.99910
20,1646321148,47.74397,8.99909
21,1646321149,47.74399,8.99908
22,1646321150,47.74400,8.99908
23,1646321152,47.74403,8.99907
24,1646321153,47.74405,8.99906
25,1646321159,47.74415,8.99904
26,1646321160,47.74416,8.99903
27,1646321161,47.74417,8.99902
28,1646321162,47.74419,8.99900
29,1646321163,47.74420,8.99899
30,1646321164,47.74422,8.99899
31,1646321165,47.74423,8.99898
32,1646321166,47.74424,8.99897
33,1646321167,47.74425,8.99896
34,1646321168,47.74426,8.99895
35,1646321169,47.74427,8.99893
36,1646321170,47.74428,8.99893
37,1646321171,47.74430,8.99892
38,1646321172,47.74431,8.99890
39,1646321173,47.74432,8.99889
40,1646321174,47.74433,8.99888
41,1646321175,47.74434,8.99886
42,1646321176,47.74435,8.99885
43,1646321177,47.74436,8.99884
44,1646321178,47.74437,8.99883
45,1646321179,47.74439,8.99881
46,1646321180,47.74440,8.99880
47,1646321181,47.74429,8.99846
48,1646321182,47.74430,8.99845
49,1646321183,47.74431,8.99844
50,1646321184,47.74432,8.99843
51,1646321185,47.74434,8.99843
52,1646321186,47.74435,8.99842
53,1646321187,47.74436,8.99841
54,1646321188,47.74438,8.99840
55,1646321189,47.74439,8.99840
56,1646321190,47.74440,8.99839
57,1646321191,47.74441,8.99838
58,1646321192,47.74442,8.99837
59,1646321193,47.74443,8.99837
60,1646321194,47.74444,8.99836
61,1646321195,47.74445,8.99834
62,1646321196,47.74446,8.99832
63,1646321197,47.74446,8.99831
64,1646321198,47.74447,8.99829
65,1646321199,47.74447,8.99828
66,1646321200,47.74448,8.99826
67,1646321201,47.74448,8.99825
68,1646321202,47.74449,8.99823
69,1646321203,47.74449,8.99821
70,1646321204,47.74449,8.99819
71,1646321205,47.74449,8.99818
72,1646321206,47.74449,8.99816
73,1646321207,47.74450,8.99815
74,1646321208,47.74451,8.99812
75,1646321209,47.74451,8.99810
76,1646321210,47.74452,8.99807
77,1646321211,47.74452,8.99806
78,1646321212,47.74452,8.99804
79,1646321213,47.74452,8.99802
80,1646321214,47.74453,8.99800
81,1646321215,47.74453,8.99798
82,1646321216,47.74454,8.99796
83,1646321217,47.74454,8.99794
84,1646321218,47.74454,8.99792
85,1646321219,47.74454,8.99790
86,1646321220,47.74455,8.99788
87,1646321221,47.74455,8.99786
88,1646321222,47.74455,8.99784
89,1646321223,47.74456,8.99782
90,1646321224,47.74456,8.99780
91,1646321225,47.74456,8.99778
92,1646321226,47.74457,8.99776
93,1646321227,47.74457,8.99774
94,1646321228,47.74458,8.99772
95,1646321229,47.74458,8.99772
96,1646321230,47.74459,8.99771
97,1646321231,47.74459,8.99770
98,1646321232,47.74459,8.99770
99,1646321233,47.74459,8.99769
100,1646321234,47.74459,8.99769
101,1646321235,47.74459,8.99770
102,1646321236,47.74459,8.99769
103,1646321237,47.74459,8.99770
104,1646321238,47.74459,8.99770
105,1646321239,47.74459,8.99770
106,1646321240,47.74459,8.99770
107,1646321241,47.74459,8.99767
108,1646321242,47.74459,8.99765
109,1646321243,47.74459,8.99763
110,1646321244,47.74459,8.99761
111,1646321245,47.74459,8.99759
112,1646321246,47.74460,8.99756
113,1646321247,47.74460,8.99754
114,1646321248,47.74460,8.99752
115,1646321249,47.74460,8.99751
116,1646321250,47.74460,8.99749
117,1646321251,47.74460,8.99747
118,1646321252,47.74460,8.99745
119,1646321253,47.74461,8.99743
120,1646321254,47.74461,8.99741
121,1646321255,47.74461,8.99739
122,1646321256,47.74462,8.99737
123,1646321257,47.74462,8.99735
124,1646321258,47.74462,8.99733
125,1646321259,47.74462,8.99731
126,1646321260,47.74463,8.99729
127,1646321261,47.74463,8.99727
128,1646321262,47.74463,8.99725
129,1646321263,47.74464,8.99723
130,1646321264,47.74464,8.99721
131,1646321265,47.74464,8.99719
132,1646321266,47.74465,8.99717
133,1646321267,47.74465,8.99715
134,1646321268,47.74465,8.99713
135,1646321269,47.74465,8.99711
136,1646321270,47.74466,8.99709
137,1646321271,47.74466,8.99707
138,1646321272,47.74466,8.99705
139,1646321273,47.74466,8.99704
140,1646321274,47.74467,8.99702
141,1646321275,47.74467,8.99700
142,1646321276,47.74467,8.99698
143,1646321277,47.74467,8.99695
144,1646321278,47.74467,8.99693
145,1646321279,47.74467,8.99691
146,1646321280,47.74468,8.99689
147,1646321281,47.74468,8.99687
148,1646321282,47.74468,8.99685
149,1646321283,47.74469,8.99682
150,1646321284,47.74469,8.99680
151,1646321285,47.74469,8.99678
152,1646321286,47.74469,8.99676
153,1646321287,47.74469,8.99674
154,1646321288,47.74470,8.99672
155,1646321289,47.74470,8.99670
156,1646321290,47.74470,8.99668
157,1646321291,47.74471,8.99667
158,1646321292,47.74471,8.99666
159,1646321293,47.74472,8.99666
160,1646321294,47.74472,8.99666
161,1646321295,47.74472,8.99666
162,1646321296,47.74472,8.99666
163,1646321297,47.74472,8.99666
164,1646321298,47.74472,8.99666
165,1646321299,47.74472,8.99664
166,1646321300,47.74472,8.99662
167,1646321301,47.74471,8.99660
168,1646321302,47.74471,8.99658
169,1646321303,47.74471,8.99656
170,1646321304,47.74472,8.99654
171,1646321305,47.74472,8.99652
172,1646321306,47.74472,8.99650
173,1646321307,47.74472,8.99648
174,1646321308,47.74473,8.99645
175,1646321309,47.74473,8.99644
176,1646321310,47.74473,8.99643
177,1646321311,47.74473,8.99642
178,1646321312,47.74474,8.99641
179,1646321313,47.74474,8.99641
180,1646321314,47.74474,8.99641
181,1646321315,47.74473,8.99641
182,1646321316,47.74473,8.99641
183,1646321317,47.74473,8.99641
184,1646321318,47.74473,8.99641
185,1646321319,47.74473,8.99641
186,1646321320,47.74473,8.99641
187,1646321321,47.74473,8.99641
188,1646321322,47.74473,8.99641
189,1646321323,47.74473,8.99641
190,1646321324,47.74473,8.99641
191,1646321325,47.74474,8.99639
192,1646321326,47.74474,8.99637
193,1646321327,47.74475,8.99635
194,1646321328,47.74475,8.99633
195,1646321329,47.74475,8.99631
196,1646321330,47.74476,8.99628
197,1646321331,47.74476,8.99626
198,1646321332,47.74476,8.99624
199,1646321333,47.74477,8.99622
200,1646321334,47.74477,8.99620
201,1646321335,47.74477,8.99618
202,1646321336,47.74477,8.99616
203,1646321337,47.74477,8.99614
204,1646321338,47.74478,8.99612
205,1646321339,47.74478,8.99610
206,1646321340,47.74478,8.99608
