---TICK-TAG---
*START MEMORY*
UVs: 115, TOs: 0/0, ErrorsOrGF: 1, TTFF: 71
Fixes: 12445, Avg. TTF: 0 s, Avg. HDOP (x10): 8

count,timestamp,lat,lon
1,1646641291,47.74380,8.99886
2,1646641293,47.74381,8.99885
3,1646641300,47.74395,8.99878
4,1646641303,47.74398,8.99875
5,1646641305,47.74400,8.99873
6,1646641308,47.74405,8.99870
7,1646641312,47.74409,8.99868
8,1646641319,47.74416,8.99866
9,1646641320,47.74417,8.99865
10,1646641321,47.74418,8.99864
11,1646641322,47.74419,8.99863
12,1646641323,47.74420,8.99862
13,1646641324,47.74420,8.99861
14,1646641325,47.74421,8.99860
15,1646641326,47.74422,8.99859
16,1646641327,47.74424,8.99857
17,1646641328,47.74425,8.99856
18,1646641329,47.74425,8.99855
19,1646641330,47.74426,8.99854
20,1646641331,47.74427,8.99852
21,1646641332,47.74428,8.99851
22,1646641333,47.74428,8.99850
23,1646641334,47.74429,8.99848
24,1646641335,47.74429,8.99848
25,1646641336,47.74430,8.99847
26,1646641337,47.74430,8.99846
27,1646641338,47.74431,8.99845
28,1646641339,47.74432,8.99843
29,1646641340,47.74432,8.99842
30,1646641341,47.74433,8.99840
31,1646641342,47.74433,8.99839
32,1646641343,47.74435,8.99838
33,1646641344,47.74435,8.99838
34,1646641345,47.74436,8.99837
35,1646641346,47.74435,8.99836
36,1646641347,47.74436,8.99835
37,1646641348,47.74436,8.99834
38,1646641349,47.74437,8.99832
39,1646641350,47.74437,8.99831
40,1646641351,47.74437,8.99830
41,1646641352,47.74438,8.99828
42,1646641353,47.74438,8.99827
43,1646641354,47.74438,8.99825
44,1646641355,47.74438,8.99824
45,1646641356,47.74438,8.99822
46,1646641357,47.74439,8.99821
47,1646641358,47.74439,8.99820
48,1646641359,47.74440,8.99818
49,1646641360,47.74441,8.99816
50,1646641361,47.74441,8.99815
51,1646641362,47.74442,8.99813
52,1646641363,47.74443,8.99812
53,1646641364,47.74443,8.99811
54,1646641365,47.74444,8.99811
55,1646641366,47.74444,8.99811
56,1646641367,47.74444,8.99811
57,1646641369,47.74444,8.99811
58,1646641371,47.74445,8.99811
59,1646641372,47.74445,8.99812
60,1646641373,47.74445,8.99812
61,1646641374,47.74445,8.99812
62,1646641375,47.74445,8.99812
63,1646641376,47.74445,8.99811
64,1646641377,47.74446,8.99810
65,1646641378,47.74446,8.99808
66,1646641379,47.74447,8.99807
67,1646641380,47.74447,8.99805
68,1646641381,47.74448,8.99803
69,1646641382,47.74449,8.99802
70,1646641383,47.74449,8.99800
71,1646641384,47.74450,8.99799
72,1646641385,47.74450,8.99799
73,1646641386,47.74450,8.99799
74,1646641387,47.74451,8.99797
75,1646641388,47.74451,8.99796
76,1646641389,47.74452,8.99794
77,1646641390,47.74453,8.99792
78,1646641391,47.74453,8.99790
79,1646641392,47.74453,8.99790
80,1646641393,47.74453,8.99790
81,1646641394,47.74453,8.99790
82,1646641395,47.74453,8.99790
83,1646641396,47.74453,8.99790
84,1646641398,47.74453,8.99790
85,1646641399,47.74453,8.99790
86,1646641400,47.74453,8.99790
87,1646641401,47.74453,8.99790
88,1646641402,47.74453,8.99790
89,1646641403,47.74454,8.99789
90,1646641404,47.74455,8.99787
91,1646641405,47.74456,8.99786
92,1646641406,47.74456,8.99785
93,1646641407,47.74457,8.99784
94,1646641408,47.74458,8.99782
95,1646641409,47.74459,8.99781
96,1646641410,47.74460,8.99779
97,1646641411,47.74460,8.99778
98,1646641412,47.74461,8.99776
99,1646641413,47.74462,8.99775
100,1646641414,47.74462,8.99773
101,1646641415,47.74463,8.99771
102,1646641416,47.74463,8.99770
103,1646641417,47.74464,8.99767
104,1646641418,47.74464,8.99765
105,1646641419,47.74464,8.99763
106,1646641420,47.74465,8.99762
107,1646641421,47.74465,8.99762
108,1646641422,47.74465,8.99762
109,1646641423,47.74465,8.99761
110,1646641424,47.74466,8.99759
111,1646641425,47.74466,8.99756
112,1646641426,47.74466,8.99753
113,1646641427,47.74467,8.99750
114,1646641428,47.74467,8.99747
115,1646641429,47.74467,8.99745
116,1646641430,47.74468,8.99744
117,1646641431,47.74468,8.99743
118,1646641432,47.74468,8.99742
119,1646641433,47.74468,8.99741
120,1646641434,47.74469,8.99741
121,1646641435,47.74468,8.99741
122,1646641436,47.74468,8.99741
123,1646641437,47.74468,8.99741
124,1646641438,47.74468,8.99741
125,1646641439,47.74468,8.99741
126,1646641440,47.74468,8.99741
127,1646641441,47.74468,8.99741
128,1646641442,47.74468,8.99741
129,1646641443,47.74468,8.99741
130,1646641444,47.74468,8.99741
131,1646641445,47.74468,8.99740
132,1646641446,47.74469,8.99739
