---TICK-TAG---
*START MEMORY*
UVs: 47, TOs: 0/0, ErrorsOrGF: 0, TTFF: 110
Fixes: 7075, Avg. TTF: 7 s, Avg. HDOP (x10): 14

count,timestamp,lat,lon
1,1646816509,47.74427,8.99832
2,1646816510,47.74428,8.99830
3,1646816511,47.74429,8.99828
4,1646816512,47.74430,8.99826
5,1646816513,47.74430,8.99824
6,1646816514,47.74431,8.99822
7,1646816515,47.74432,8.99820
8,1646816516,47.74433,8.99818
9,1646816517,47.74434,8.99815
10,1646816518,47.74435,8.99813
11,1646816537,47.74457,8.99770
12,1646816538,47.74458,8.99769
13,1646816539,47.74458,8.99768
14,1646816540,47.74459,8.99768
15,1646816541,47.74459,8.99766
16,1646816542,47.74459,8.99765
17,1646816543,47.74459,8.99765
18,1646816544,47.74459,8.99765
19,1646816545,47.74458,8.99766
20,1646816547,47.74458,8.99766
21,1646816567,47.74457,8.99764
22,1646816568,47.74458,8.99765
23,1646816569,47.74458,8.99764
24,1646816570,47.74458,8.99763
25,1646816571,47.74458,8.99760
26,1646816572,47.74459,8.99759
27,1646816573,47.74459,8.99757
28,1646816574,47.74460,8.99755
29,1646816575,47.74460,8.99753
30,1646816577,47.74460,8.99751
31,1646816596,47.74465,8.99710
32,1646816597,47.74465,8.99708
33,1646816598,47.74465,8.99706
34,1646816599,47.74466,8.99705
35,1646816600,47.74466,8.99703
36,1646816601,47.74466,8.99701
37,1646816602,47.74466,8.99699
38,1646816603,47.74466,8.99697
39,1646816604,47.74466,8.99694
40,1646816605,47.74466,8.99693
41,1646816624,47.74471,8.99647
42,1646816625,47.74470,8.99646
43,1646816626,47.74469,8.99646
44,1646816627,47.74469,8.99647
45,1646816628,47.74469,8.99648
46,1646816629,47.74469,8.99649
47,1646816630,47.74468,8.99649
48,1646816631,47.74468,8.99650
49,1646816632,47.74468,8.99650
50,1646816633,47.74468,8.99650
51,1646816653,47.74473,8.99633
52,1646816654,47.74474,8.99628
53,1646816655,47.74475,8.99622
