event-id,visible,timestamp,lon,lat,bar:barometric-pressure,data-decoding-software,eobs:activity,eobs:activity-samples,eobs:battery-voltage,eobs:fix-battery-voltage,eobs:horizontal-accuracy-estimate,eobs:key-bin-checksum,eobs:speed-accuracy-estimate,eobs:start-timestamp,eobs:status,eobs:temperature,eobs:type-of-fix,eobs:used-time-to-get-fix,gps:dop,gps:satellite-count,ground-speed,heading,height-above-ellipsoid,height-raw,import-marked-outlier,mag:magnetic-field-raw-x,mag:magnetic-field-raw-y,mag:magnetic-field-raw-z,orientation:quaternion-raw-w,orientation:quaternion-raw-x,orientation:quaternion-raw-y,orientation:quaternion-raw-z,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
21239134016,true,2022-02-09 07:19:50.000,31.3478365,-24.5319774,0.0,"14",,,3426,3414,4.35,3871737220,0.64,2022-02-09 07:06:42.000,"A",32,3,787,1.6,9,0.15,198.57,509.9,,false,86.0,150.0,70.0,-3744,49,22,-115,"gps","Canis lupus","9458","Duchess","Kruger Hounds"
21239134019,true,2022-02-09 07:19:51.000,31.3478381,-24.5319788,0.0,"14",,,3426,3416,4.35,669334745,0.4,2022-02-09 07:06:42.000,"A",32,3,788,1.6,9,0.27,198.57,509.8,,false,125.0,69.0,81.0,7091,52,40,-106,"gps","Canis lupus","9458","Duchess","Kruger Hounds"
21239134022,true,2022-02-09 07:19:52.000,31.3478388,-24.5319788,0.0,"14",,,3426,3416,4.35,1100278894,0.59,2022-02-09 07:06:42.000,"A",32,3,789,1.6,9,0.1,198.57,509.7,,false,73.0,65.0,3.0,2902,29,21,-122,"gps","Canis lupus","9458","Duchess","Kruger Hounds"
21239134028,true,2022-02-09 07:19:53.000,31.347839,-24.5319779,0.0,"14",,,3426,3414,4.35,3518038657,0.8,2022-02-09 07:06:42.000,"A",32,3,790,1.6,9,0.13,198.57,509.3,,false,62.0,100.0,-44.0,4311,12,27,-123,"gps","Canis lupus","9458","Duchess","Kruger Hounds"
21239134033,true,2022-02-09 07:19:54.000,31.3478371,-24.531978,0.0,"14",,,3426,3413,4.35,4130791201,0.54,2022-02-09 07:06:42.000,"A",32,3,791,1.6,9,0.3,198.57,509.0,,false,96.0,-10.0,-68.0,7307,33,15,-119,"gps","Canis lupus","9458","Duchess","Kruger Hounds"
21239134037,true,2022-02-09 07:19:55.000,31.3478363,-24.5319765,0.0,"14",,,3426,3416,4.35,3502305005,0.81,2022-02-09 07:06:42.000,"A",32,3,792,1.6,9,0.33,198.57,509.0,,false,-14.0,-56.0,-20.0,16292,21,24,-106,"gps","Canis lupus","9458","Duchess","Kruger Hounds"
21239134041,true,2022-02-09 07:19:56.000,31.3478361,-24.5319773,0.0,"14",,,3426,3416,4.61,4137031084,0.44,2022-02-09 07:06:42.000,"A",32,3,793,1.6,9,0.34,198.57,509.1,,false,91.0,-55.0,27.0,5561,45,8,-117,"gps","Canis lupus","9458","Duchess","Kruger Hounds"
21239134045,true,2022-02-09 07:19:57.000,31.3478341,-24.5319755,0.0,"14",,,3426,3414,4.61,2678340357,0.72,2022-02-09 07:06:42.000,"A",32,3,794,1.6,9,0.49,198.57,509.8,,false,67.0,207.0,-11.0,-2599,9,34,-122,"gps","Canis lupus","9458","Duchess","Kruger Hounds"
21239134046,true,2022-02-09 07:19:58.000,31.3478323,-24.5319724,0.0,"14",,,3426,3414,4.61,105116854,0.38,2022-02-09 07:06:42.000,"A",32,3,795,1.6,9,0.71,298.84,508.5,,false,-32.0,36.0,-42.0,8004,14,23,-121,"gps","Canis lupus","9458","Duchess","Kruger Hounds"
21239134050,true,2022-02-09 07:19:59.000,31.3478167,-24.5319445,0.0,"14",,,3426,3417,4.35,415446977,0.26,2022-02-09 07:06:42.000,"A",32,3,796,1.6,9,4.74,332.92,510.1,,false,-56.0,80.0,-54.0,5911,9,-12,-125,"gps","Canis lupus","9458","Duchess","Kruger Hounds"
