count,timestamp,lat,lon
1,1625518909,48.97748,8.30403
2,1625518946,48.97733,8.30414
3,1625518994,48.97721,8.30407
4,1625519041,48.97684,8.30421
5,1625519084,48.97675,8.30422
6,1625519137,48.97570,8.30490
7,1625519187,48.97702,8.30437
8,1625519224,48.97699,8.30419
9,1625519270,48.97710,8.30427
10,1625519325,48.97706,8.30421
11,1625519367,48.97716,8.30423
12,1625519416,48.97594,8.30461
13,1625519449,48.97535,8.30504
14,1625519491,48.97498,8.30675
15,1625519533,48.97316,8.30939
16,1625519575,48.97258,8.31249
17,1625519617,48.97284,8.31560
18,1625519680,48.97335,8.31588
19,1625519714,48.97345,8.31580
20,1625519765,48.97340,8.31592
21,1625519800,48.97368,8.31588
22,1625519837,48.97340,8.31553
23,1625519873,48.97348,8.31569
24,1625519925,48.97352,8.31555
25,1625519977,48.97277,8.31576
26,1625520025,48.97482,8.31467
27,1625520080,48.97344,8.31539
28,1625520133,48.97310,8.31557
29,1625520194,48.97316,8.31588
30,1625520241,48.97374,8.31515
31,1625520335,48.97329,8.31661
32,1625520404,48.97341,8.31525
33,1625520464,48.97352,8.31536
34,1625520515,48.97325,8.31556
35,1625520560,48.97425,8.31597
36,1625520601,48.97345,8.31571
37,1625520643,48.97281,8.31754
38,1625520685,48.97180,8.31871
39,1625520727,48.97081,8.32028
40,1625520762,48.97018,8.32155
41,1625520805,48.96841,8.32379
42,1625520859,48.96860,8.32514
43,1625520901,48.96751,8.32681
44,1625520949,48.96761,8.32678
45,1625520992,48.96671,8.32949
46,1625521026,48.96631,8.33155
47,1625521061,48.96597,8.33330
48,1625521111,48.96517,8.33590
49,1625521163,48.96609,8.33565
50,1625521221,48.96555,8.33568
51,1625523894,48.96561,8.33559
52,1625525206,48.96565,8.33564
53,1625525290,48.96540,8.33427
54,1625525345,48.96655,8.32880
55,1625525409,48.96800,8.32532
56,1625525466,48.97028,8.32084
57,1625525521,48.97307,8.31625
58,1625525595,48.97343,8.31599
59,1625525657,48.97353,8.31585
60,1625525722,48.97332,8.31571
61,1625525908,48.97317,8.31554
62,1625525947,48.97313,8.31517
63,1625526011,48.97325,8.31595
64,1625526098,48.97316,8.31529
65,1625526148,48.97311,8.31552
66,1625526184,48.97338,8.31542
67,1625526218,48.97338,8.31595
68,1625526253,48.97366,8.31595
69,1625526287,48.97274,8.31447
70,1625526323,48.97358,8.31550
71,1625526362,48.97341,8.31534
72,1625526404,48.97336,8.31565
73,1625526440,48.97324,8.31581
74,1625526481,48.97342,8.31548
75,1625526518,48.97355,8.31515
76,1625526554,48.97300,8.31584
77,1625526591,48.97383,8.31488
78,1625526627,48.97322,8.31574
79,1625526663,48.97323,8.31571
80,1625526701,48.97334,8.31546
81,1625526743,48.97342,8.31549
82,1625526780,48.97341,8.31576
83,1625526814,48.97349,8.31588
84,1625526849,48.97355,8.31604
85,1625526884,48.97327,8.31575
86,1625526920,48.97343,8.31578
87,1625526967,48.97286,8.31636
88,1625527007,48.97344,8.31530
89,1625527052,48.97331,8.31556
90,1625527093,48.97383,8.31493
91,1625527134,48.97333,8.31588
92,1625527173,48.97358,8.31551
93,1625527211,48.97335,8.31560
94,1625527255,48.97345,8.31553
95,1625527297,48.97278,8.31631
96,1625527339,48.97281,8.31628
97,1625527376,48.97343,8.31557
98,1625527412,48.97332,8.31583
99,1625527450,48.97335,8.31579
100,1625527484,48.97337,8.31558
101,1625527517,48.97239,8.31453
102,1625527551,48.97237,8.31450
103,1625527586,48.97150,8.31299
104,1625527621,48.97103,8.31025
105,1625527654,48.97079,8.30969
106,1625527688,48.97055,8.30961
107,1625527723,48.96905,8.30836
108,1625527757,48.96985,8.30736
109,1625527791,48.96932,8.30567
110,1625527825,48.97040,8.30485
111,1625527859,48.97190,8.30561
112,1625527902,48.97251,8.30841
113,1625527936,48.97209,8.31102
114,1625527970,48.97229,8.31336
115,1625528004,48.97331,8.31527
116,1625528043,48.97350,8.31600
117,1625528077,48.97352,8.31592
118,1625528118,48.97363,8.31576
119,1625528163,48.97369,8.31676
120,1625528222,48.97355,8.31596
121,1625528268,48.97332,8.31576
122,1625528313,48.97311,8.31510
123,1625528349,48.97301,8.31498
124,1625528383,48.97330,8.31459
125,1625528417,48.97298,8.31511
126,1625528451,48.97451,8.31637
127,1625528489,48.97318,8.31539
128,1625528523,48.97364,8.31552
129,1625528559,48.97189,8.31452
130,1625528595,48.96999,8.31607
131,1625528630,48.96851,8.31752
132,1625528666,48.96691,8.31914
133,1625528699,48.96548,8.32055
134,1625528735,48.96360,8.32258
135,1625528775,48.96195,8.32512
136,1625528813,48.96121,8.32785
137,1625528850,48.96067,8.33062
138,1625528889,48.96047,8.33338
139,1625528936,48.95856,8.33574
140,1625528981,48.95799,8.33662
141,1625529023,48.95738,8.33619
142,1625529073,48.95597,8.33677
143,1625529122,48.95483,8.33597
144,1625529159,48.95535,8.33679
145,1625529197,48.95536,8.33781
146,1625529231,48.95438,8.33946
147,1625529265,48.95416,8.34119
148,1625529349,48.95300,8.34359
149,1625529389,48.95286,8.34546
150,1625529436,48.95301,8.34747
151,1625529489,48.95155,8.34882
152,1625529545,48.95188,8.34852
153,1625529605,48.95236,8.34718
154,1625529665,48.95254,8.34865
155,1625529757,48.95200,8.34793
156,1625529821,48.95178,8.34704
157,1625529877,48.95100,8.34725
